,Name,Stocktype,Mileage_(Miles),Price,Ext_color,Int_color,Transmission,Body_style,Model_Year,Car_Age_Year,Car_Make,Car_Model,Car_Trim
2809,2014 Volkswagen Passat 2.0 TDI SE,Volkswagen Certified,"40,243 mi.",13906,Black,Black,Automatic,Sedan,2014-01-01,6.46,Volkswagen,Passat,SE
2810,2014 Volkswagen Passat 2.0 TDI SE,Volkswagen Certified,"42,903 mi.",13910,Gray,Black,Automatic,Sedan,2014-01-01,6.46,Volkswagen,Passat,SE
2811,2019 Hyundai Accent SE,Used,"13,689 mi.",14599,Red,Black,Automatic,Sedan,2019-01-01,1.46,Hyundai,Accent,SE
2812,2012 Toyota Prius c Three,Used,"67,000 mi.",8500,Silver,Beige,Automatic,Extended Cab Pickup,2012-01-01,8.47,Toyota,Prius,Three
2813,2014 Volkswagen Passat 2.0 TDI SEL Premium,Volkswagen Certified,"52,722 mi.",13901,Gray,Other,Automatic,Sedan,2014-01-01,6.46,Volkswagen,Passat,Premium
2814,2014 Volkswagen Passat 2.0 TDI SE,Volkswagen Certified,"54,113 mi.",13976,Silver,Other,Automatic,Sedan,2014-01-01,6.46,Volkswagen,Passat,SE
2815,2008 Toyota Tacoma Access Cab,Used,"171,840 mi.",12477,White,Other,Manual,Extended Cab Pickup,2008-01-01,12.47,Toyota,Tacoma,Cab
2816,1990 Saab 900 Turbo,Used,"161,800 mi.",6550,Red,Brown,Manual,Convertible,1990-01-01,30.48,Saab,900,Turbo
2817,2014 Volkswagen Passat 2.0 TDI SE,Volkswagen Certified,"64,243 mi.",11872,White,Beige,Automatic,Sedan,2014-01-01,6.46,Volkswagen,Passat,SE
2818,2014 Volkswagen Passat 2.0 TDI SE,Volkswagen Certified,"59,628 mi.",12723,Black,Black,Automatic,Sedan,2014-01-01,6.46,Volkswagen,Passat,SE
2819,2005 GMC Sierra 3500 SLT,Used,"405,631 mi.",9997,White,Other,Automatic,Crew Cab Pickup,2005-01-01,15.47,GMC,Sierra,SLT
2820,2014 Volkswagen Jetta SportWagen 2.0 TDI,Volkswagen Certified,"55,561 mi.",12973,Red,Black,Manual,Wagon,2014-01-01,6.46,Volkswagen,Jetta,TDI
2821,2014 Volkswagen Passat 2.0 TDI SE,Volkswagen Certified,"44,578 mi.",10988,Blue,Black,Automatic,Sedan,2014-01-01,6.46,Volkswagen,Passat,SE
2822,2014 Volkswagen Passat 2.0 TDI SE,Volkswagen Certified,"36,948 mi.",13833,Silver,Black,Automatic,Sedan,2014-01-01,6.46,Volkswagen,Passat,SE
2823,2014 Volkswagen Jetta 2.0 TDI,Volkswagen Certified,"34,544 mi.",9988,Brown,Beige,Manual,Sedan,2014-01-01,6.46,Volkswagen,Jetta,TDI
2824,2014 Volkswagen Passat 2.0 TDI SE,Volkswagen Certified,"38,094 mi.",13966,Silver,Black,Automatic,Sedan,2014-01-01,6.46,Volkswagen,Passat,SE
2825,1998 Ford Ranger,Used,"148,573 mi.",5995,White,Other,Unknown,Regular Cab Pickup,1998-01-01,22.47,Ford,Ranger,Ranger
2826,2001 Toyota Prius,Used,"182,916 mi.",3995,Blue,Gray,CVT,Sedan,2001-01-01,19.47,Toyota,Prius,Prius
2827,2002 Kia Sedona EX,Used,"248,000 mi.",3995,White,Other,Automatic,Minivan,2002-01-01,18.47,Kia,Sedona,EX
2828,2002 Toyota Sequoia SR5,Used,"226,237 mi.",8977,White,Other,Automatic,SUV,2002-01-01,18.47,Toyota,Sequoia,SR5
2829,2014 Volkswagen Jetta 2.0 TDI,Volkswagen Certified,"29,080 mi.",13988,Silver,Black,Manual,Sedan,2014-01-01,6.46,Volkswagen,Jetta,TDI
2830,2007 Dodge Caliber SXT,Used,"254,999 mi.",2495,Blue,Gray,CVT,Hatchback,2007-01-01,13.47,Dodge,Caliber,SXT
2831,2011 Chevrolet Tahoe LT,Used,"220,339 mi.",7500,Gold,Other,Automatic,SUV,2011-01-01,9.47,Chevrolet,Tahoe,LT
2832,2000 Toyota Corolla CE,Used,"212,237 mi.",2650,White,Gray,Manual,Sedan,2000-01-01,20.47,Toyota,Corolla,CE
2833,2015 Volkswagen Passat 2.0 TDI SE,Volkswagen Certified,"65,939 mi.",11914,Beige,Black,Automatic,Sedan,2015-01-01,5.46,Volkswagen,Passat,SE
2834,2001 Honda Civic EX,Used,"120,839 mi.",5477,White,Other,Manual,Coupe,2001-01-01,19.47,Honda,Civic,EX
2835,2012 Volkswagen Jetta SportWagen 2.0 TDI,Volkswagen Certified,"41,578 mi.",13883,Silver,Black,Manual,Wagon,2012-01-01,8.47,Volkswagen,Jetta,TDI
2836,2014 Volkswagen Passat 2.0 TDI SE,Volkswagen Certified,"39,653 mi.",13987,Red,Black,Automatic,Sedan,2014-01-01,6.46,Volkswagen,Passat,SE
2837,2012 Volkswagen Passat 2.0 TDI SE,Volkswagen Certified,"41,965 mi.",11317,Blue,Other,Automatic,Sedan,2012-01-01,8.47,Volkswagen,Passat,SE
2838,2012 Volkswagen Passat 2.0 TDI SEL Premium,Volkswagen Certified,"64,577 mi.",10981,Silver,Black,Automatic,Sedan,2012-01-01,8.47,Volkswagen,Passat,Premium
2839,1998 Ford Ranger Splash,Used,"173,908 mi.",3250,White,Black,Manual,Regular Cab Pickup,1998-01-01,22.47,Ford,Ranger,Splash
2840,2004 Toyota 4Runner SR5,Used,"191,535 mi.",11995,Silver,Gray,Automatic,SUV,2004-01-01,16.47,Toyota,4Runner,SR5
2841,2005 INFINITI G35 Base,Used,"131,349 mi.",6995,Black,Gray,Automatic,Sedan,2005-01-01,15.47,INFINITI,G35,Base
2842,2002 Ford F-150 XL,Used,"104,068 mi.",6950,White,Beige,Automatic,Regular Cab Pickup,2002-01-01,18.47,Ford,F-150,XL
2843,2004 Dodge Ram 1500 SLT/Laramie Quad Cab,Used,"187,991 mi.",8988,Black,Gray,Automatic,Crew Cab Pickup,2004-01-01,16.47,Dodge,Ram,Cab
2844,2015 Chrysler 200 Limited,Used,"101,064 mi.",7977,Blue,Other,Automatic,Sedan,2015-01-01,5.46,Chrysler,200,Limited
2845,1996 GMC Sierra 1500 SL,Used,"221,811 mi.",5388,White,Gray,Automatic,Extended Cab Pickup,1996-01-01,24.48,GMC,Sierra,SL
2846,2006 Honda Civic LX,Used,"198,000 mi.",3500,Gold,Beige,Automatic,Sedan,2006-01-01,14.47,Honda,Civic,LX
2847,1992 Chevrolet Suburban 1500,Used,"264,001 mi.",3495,Brown,Beige,Automatic,SUV,1992-01-01,28.48,Chevrolet,Suburban,1500
2848,2005 Toyota Tacoma Double Cab,Used,"271,561 mi.",10477,Black,Other,Automatic,Crew Cab Pickup,2005-01-01,15.47,Toyota,Tacoma,Cab
2849,2001 Jeep Grand Cherokee Laredo,Used,"164,573 mi.",4977,Red,Other,Automatic,SUV,2001-01-01,19.47,Jeep,Grand,Laredo
2850,2003 Ford Focus ZX3,Used,"164,386 mi.",4977,Silver,Other,Automatic,Hatchback,2003-01-01,17.47,Ford,Focus,ZX3
