,Name,Stocktype,Mileage_(Miles),Price,Ext_color,Int_color,Transmission,Body_style,Model_Year,Car_Age_Year,Car_Make,Car_Model,Car_Trim
0,2011 Nissan Frontier SV,Used,"116,657 mi.",10991,Black,Gray,Automatic,Crew Cab Pickup,2011-01-01,9.47,Nissan,Frontier,SV
1,2017 Honda Accord EX-L V-6,Used,"41,725 mi.",14491,Black,Black,Automatic,Sedan,2017-01-01,3.46,Honda,Accord,V-6
2,2016 Nissan Sentra SV,Used,"65,953 mi.",8991,White,Gray,CVT,Sedan,2016-01-01,4.46,Nissan,Sentra,SV
3,2009 Land_Rover LR2 HSE,Used,"25,420 mi.",10991,Black,Black,Automatic,SUV,2009-01-01,11.47,Land_Rover,LR2,HSE
4,2011 Audi A6 3.0T Prestige quattro,Used,"78,612 mi.",8991,Black,Black,Automatic,Sedan,2011-01-01,9.47,Audi,A6,quattro
5,2013 Subaru XV Crosstrek 2.0i Premium,Used,"71,841 mi.",10991,Red,Beige,CVT,Wagon,2013-01-01,7.46,Subaru,XV,Premium
6,2014 Chrysler 300C Base,Used,"75,188 mi.",14705,Gray,Black,Automatic,Sedan,2014-01-01,6.46,Chrysler,300C,Base
7,2016 Chrysler 200 Limited,Used,"45,655 mi.",12112,Gray,Black,Automatic,Sedan,2016-01-01,4.46,Chrysler,200,Limited
8,2019 Hyundai Elantra SEL,Used,"25,599 mi.",13702,Silver,Gray,Automatic,Sedan,2019-01-01,1.46,Hyundai,Elantra,SEL
9,2017 Hyundai Sonata Base,Used,"75,442 mi.",10519,White,Gray,Automatic,Sedan,2017-01-01,3.46,Hyundai,Sonata,Base
10,2018 Nissan Sentra SL,Used,"56,325 mi.",10630,Blue,Black,CVT,Sedan,2018-01-01,2.46,Nissan,Sentra,SL
11,2018 Nissan Sentra S,Used,"50,233 mi.",10720,Black,Black,CVT,Sedan,2018-01-01,2.46,Nissan,Sentra,S
12,2007 Honda Accord LX,Used,"140,099 mi.",3988,Silver,Gray,Automatic,Sedan,2007-01-01,13.47,Honda,Accord,LX
13,2012 FIAT 500 Sport,Used,"49,397 mi.",8488,Yellow,Black,Automatic,Hatchback,2012-01-01,8.47,FIAT,500,Sport
14,2018 Nissan Sentra S,Used,"50,876 mi.",10729,Gray,Black,CVT,Sedan,2018-01-01,2.46,Nissan,Sentra,S
15,2013 Subaru Outback 2.5i,Used,"85,747 mi.",9988,Gray,Black,CVT,SUV,2013-01-01,7.46,Subaru,Outback,2.5i
16,2018 Nissan Sentra S,Used,"40,401 mi.",10974,Silver,Black,CVT,Sedan,2018-01-01,2.46,Nissan,Sentra,S
17,2010 Ford Expedition XLT,Used,"186,315 mi.",4995,Silver,Beige,Automatic,SUV,2010-01-01,10.47,Ford,Expedition,XLT
18,2008 Audi A4 2.0T quattro,Used,"124,392 mi.",5995,White,Black,Automatic,Sedan,2008-01-01,12.47,Audi,A4,quattro
20,2002 BMW 325 Ci,Used,"126,324 mi.",5991,Black,Gray,Automatic,Convertible,2002-01-01,18.47,BMW,325,Ci
21,2013 Scion FR-S,Used,"77,575 mi.",14492,Black,Black,Unknown,Coupe,2013-01-01,7.46,Scion,FR-S,FR-S
22,2014 Nissan Sentra SV,Used,"66,273 mi.",9991,Silver,Gray,CVT,Sedan,2014-01-01,6.46,Nissan,Sentra,SV
23,2004 Ford Ranger XLT,Used,"60,869 mi.",12900,Red,Gray,Automatic,Extended Cab Pickup,2004-01-01,16.47,Ford,Ranger,XLT
24,2017 Subaru Impreza 2.0i,Used,"21,170 mi.",11300,Silver,Black,CVT,Sedan,2017-01-01,3.46,Subaru,Impreza,2.0i
25,2018 Ford Fiesta SE,Used,"16,886 mi.",8000,Silver,Black,Automatic,Sedan,2018-01-01,2.46,Ford,Fiesta,SE
26,2007 Buick Lucerne CXL,Used,"85,914 mi.",5450,Silver,Gray,Automatic,Sedan,2007-01-01,13.47,Buick,Lucerne,CXL
27,2016 Dodge Dart SXT,Used,"55,010 mi.",8700,Gray,Black,Automatic,Sedan,2016-01-01,4.46,Dodge,Dart,SXT
28,2016 Dodge Dart SE,Used,"43,635 mi.",8000,Silver,Black,Manual,Sedan,2016-01-01,4.46,Dodge,Dart,SE
29,2015 Subaru Legacy 2.5i Premium,Used,"28,780 mi.",11950,Blue,White,CVT,Sedan,2015-01-01,5.46,Subaru,Legacy,Premium
30,2008 Toyota Yaris S,Used,"147,804 mi.",4491,Blue,Gray,Automatic,Sedan,2008-01-01,12.47,Toyota,Yaris,S
31,2008 Honda Civic EX,Used,"171,212 mi.",3199,Black,Black,Manual,Coupe,2008-01-01,12.47,Honda,Civic,EX
32,2000 Volkswagen Eurovan GLS,Used,"91,765 mi.",11499,White,Gray,Automatic,Minivan,2000-01-01,20.47,Volkswagen,Eurovan,GLS
36,2014 Mazda Mazda6 i Grand Touring,Used,"71,619 mi.",13999,Red,Beige,Automatic,Sedan,2014-01-01,6.46,Mazda,Mazda6,Touring
37,2016 Ford Fusion SE,Used,"18,446 mi.",13888,Other,Other,Automatic,Sedan,2016-01-01,4.46,Ford,Fusion,SE
38,2015 Kia Cadenza SX Limited,Used,"63,825 mi.",14888,Other,Black,Automatic,Sedan,2015-01-01,5.46,Kia,Cadenza,Limited
39,2015 Hyundai Accent GLS,Used,"76,314 mi.",6995,Gray,Gray,Automatic,Sedan,2015-01-01,5.46,Hyundai,Accent,GLS
40,2008 Volvo S80 3.2,Used,"78,406 mi.",5995,Silver,Black,Automatic,Sedan,2008-01-01,12.47,Volvo,S80,3.2
41,2008 Toyota Tundra ONLY 126K MILES BRAND NEW TIRES,Used,"126,124 mi.",13995,Gray,Gray,Automatic,Crew Cab Pickup,2008-01-01,12.47,Toyota,Tundra,TIRES
42,2006 Ford F-250 Super Duty,Used,"95,640 mi.",13995,Gray,Gray,Automatic,Crew Cab Pickup,2006-01-01,14.47,Ford,F-250,Duty
43,2013 Subaru Impreza 2.0i Limited,Used,"19,351 mi.",10995,Silver,Black,CVT,Hatchback,2013-01-01,7.46,Subaru,Impreza,Limited
44,1990 Jaguar XJS,Used,"38,675 mi.",14995,Black,Black,Automatic,Coupe,1990-01-01,30.48,Jaguar,XJS,XJS
45,2012 Nissan Xterra S,Used,"120,000 mi.",11995,White,Gray,Automatic,SUV,2012-01-01,8.47,Nissan,Xterra,S
46,2013 Kia Soul !,Used,"64,175 mi.",6995,White,Black,Automatic,Wagon,2013-01-01,7.46,Kia,Soul,!
47,2019 Chevrolet Cruze LS,Used,"16,062 mi.",13990,Silver,Black,Automatic,Sedan,2019-01-01,1.46,Chevrolet,Cruze,LS
48,2016 Chrysler 300 S,Used,"61,900 mi.",14495,Blue,Black,Automatic,Sedan,2016-01-01,4.46,Chrysler,300,S
49,2013 Subaru BRZ Limited,Used,"58,021 mi.",13995,White,Gray,Automatic,Coupe,2013-01-01,7.46,Subaru,BRZ,Limited
50,2013 Chevrolet Traverse 2LT,Used,"91,250 mi.",13990,Black,Black,Automatic,SUV,2013-01-01,7.46,Chevrolet,Traverse,2LT
51,2006 Ford E250 E-250,Used,"126,000 mi.",7995,White,Gray,Automatic,Cargo Van,2006-01-01,14.47,Ford,E250,E-250
52,2014 Jeep Patriot Latitude,Used,"47,599 mi.",9873,White,Gray,Manual,SUV,2014-01-01,6.46,Jeep,Patriot,Latitude
53,2015 Chevrolet Spark 1LT,Used,"57,026 mi.",7990,Black,Silver,CVT,Hatchback,2015-01-01,5.46,Chevrolet,Spark,1LT
54,2013 Volkswagen Passat 2.0 TDI SE,Used,"42,630 mi.",9990,Blue,Beige,Automatic,Sedan,2013-01-01,7.46,Volkswagen,Passat,SE
55,2009 Jaguar XF Premium Luxury,Used,"76,546 mi.",9995,Gold,Other,Automatic,Sedan,2009-01-01,11.47,Jaguar,XF,Luxury
56,2013 Ford Fiesta SE,Used,"115,146 mi.",5995,Silver,Other,Manual,Sedan,2013-01-01,7.46,Ford,Fiesta,SE
57,2016 Chevrolet Malibu LS,Used,"39,803 mi.",12995,Silver,Other,Automatic,Sedan,2016-01-01,4.46,Chevrolet,Malibu,LS
58,2013 Volkswagen Passat 2.0 TDI SE,Used,"91,718 mi.",7990,Gray,Gray,Automatic,Sedan,2013-01-01,7.46,Volkswagen,Passat,SE
59,2012 Hyundai Elantra Limited,Used,"36,220 mi.",9990,Black,Gray,Automatic,Sedan,2012-01-01,8.47,Hyundai,Elantra,Limited
60,2017 Buick Encore Preferred,Used,"70,095 mi.",10590,Black,Black,Automatic,SUV,2017-01-01,3.46,Buick,Encore,Preferred
61,2017 Chevrolet Malibu 1LS,Used,"39,119 mi.",11990,White,Black,Automatic,Sedan,2017-01-01,3.46,Chevrolet,Malibu,1LS
62,2010 Toyota Camry LE,Used,"159,319 mi.",5990,Gray,Gray,Automatic,Sedan,2010-01-01,10.47,Toyota,Camry,LE
63,2011 Lexus IS 250 Base,Used,"92,305 mi.",12990,Black,Gray,Automatic,Sedan,2011-01-01,9.47,Lexus,IS,Base
64,2011 Lexus IS 350 Base,Used,"121,474 mi.",13900,White,Black,Automatic,Sedan,2011-01-01,9.47,Lexus,IS,Base
65,2011 Ford Edge Sport,Used,"90,374 mi.",10941,Black,Black,Automatic,SUV,2011-01-01,9.47,Ford,Edge,Sport
66,2015 Chrysler 200 Limited,Used,"87,571 mi.",8790,Gray,Black,Automatic,Sedan,2015-01-01,5.46,Chrysler,200,Limited
67,2014 Jeep Patriot Limited,Used,"68,785 mi.",11900,Gray,Gray,Automatic,SUV,2014-01-01,6.46,Jeep,Patriot,Limited
68,2009 Ford Ranger Sport,Used,"111,252 mi.",7890,Blue,Other,Manual,Extended Cab Pickup,2009-01-01,11.47,Ford,Ranger,Sport
69,2017 Kia Forte LX,Used,"26,687 mi.",12790,Red,Black,Automatic,Hatchback,2017-01-01,3.46,Kia,Forte,LX
70,2014 Mazda CX-9 Grand Touring,Used,"96,368 mi.",11991,Gray,Black,Automatic,SUV,2014-01-01,6.46,Mazda,CX-9,Touring
71,2015 Chrysler 200 S,Used,"36,736 mi.",13599,Black,Black,Automatic,Sedan,2015-01-01,5.46,Chrysler,200,S
72,2013 Hyundai Tucson GLS,Used,"53,703 mi.",12590,Gray,Black,Automatic,SUV,2013-01-01,7.46,Hyundai,Tucson,GLS
73,2013 Hyundai Elantra Limited,Used,"79,761 mi.",8852,White,Black,Automatic,Sedan,2013-01-01,7.46,Hyundai,Elantra,Limited
74,2008 Toyota Sienna XLE Limited,Used,"132,541 mi.",8801,Silver,Other,Automatic,Minivan,2008-01-01,12.47,Toyota,Sienna,Limited
75,2015 Hyundai Accent GLS,Used,"53,154 mi.",10599,Silver,Gray,Automatic,Sedan,2015-01-01,5.46,Hyundai,Accent,GLS
76,2016 Chrysler 300 Limited,Used,"62,849 mi.",13290,Gray,Black,Automatic,Sedan,2016-01-01,4.46,Chrysler,300,Limited
77,2009 Volvo XC90 3.2,Used,"61,581 mi.",10991,Gray,Gray,Automatic,SUV,2009-01-01,11.47,Volvo,XC90,3.2
78,2015 Dodge Dart SXT,Used,"75,734 mi.",8867,Red,Gray,Automatic,Sedan,2015-01-01,5.46,Dodge,Dart,SXT
79,2009 Mazda Mazda5 Sport,Used,"135,264 mi.",3995,Red,Beige,Automatic,Wagon,2009-01-01,11.47,Mazda,Mazda5,Sport
80,2011 Chevrolet Equinox LS,Used,"65,091 mi.",9345,White,Black,Automatic,SUV,2011-01-01,9.47,Chevrolet,Equinox,LS
81,2013 FIAT 500e Battery Electric,Used,"64,620 mi.",5995,Orange,White,Automatic,Hatchback,2013-01-01,7.46,FIAT,500e,Electric
82,2018 Chevrolet Malibu LT,Used,"44,467 mi.",13413,Silver,Black,Automatic,Sedan,2018-01-01,2.46,Chevrolet,Malibu,LT
83,2012 Land_Rover LR2 Base,Used,"116,084 mi.",9887,Red,Beige,Automatic,SUV,2012-01-01,8.47,Land_Rover,LR2,Base
84,2008 Honda Civic LX,Used,"66,131 mi.",7500,Black,Gray,Automatic,Sedan,2008-01-01,12.47,Honda,Civic,LX
85,2004 Ford F-150 XLT SuperCrew,Used,"66,447 mi.",12987,Silver,Other,Automatic,Crew Cab Pickup,2004-01-01,16.47,Ford,F-150,SuperCrew
86,2017 Hyundai Santa Fe Sport 2.4L,Used,"61,005 mi.",13987,Gray,Beige,Automatic,SUV,2017-01-01,3.46,Hyundai,Santa,2.4L
87,2017 Buick Encore Preferred,Used,"33,300 mi.",13966,Black,Black,Automatic,SUV,2017-01-01,3.46,Buick,Encore,Preferred
88,2013 Hyundai Veloster Base,Used,"42,440 mi.",9539,Silver,Black,Manual,Hatchback,2013-01-01,7.46,Hyundai,Veloster,Base
89,2017 Ford Fiesta SE,Used,"55,175 mi.",10300,White,Black,Automatic,Sedan,2017-01-01,3.46,Ford,Fiesta,SE
90,2004 Audi A4 3.0 quattro,Used,"136,000 mi.",1500,Gray,Black,Automanual,Sedan,2004-01-01,16.47,Audi,A4,quattro
91,2012 Nissan Versa 1.6 SL,Used,"101,723 mi.",4000,White,Gray,CVT,Sedan,2012-01-01,8.47,Nissan,Versa,SL
92,2016 Ford Fusion SE,Used,"71,485 mi.",11995,White,Beige,Automatic,Sedan,2016-01-01,4.46,Ford,Fusion,SE
93,2011 Audi A5 2.0T Premium Plus quattro,Used,"96,780 mi.",11990,Silver,Black,Automatic,Coupe,2011-01-01,9.47,Audi,A5,quattro
94,2016 Volkswagen Jetta 1.8T Sport,Used,"43,581 mi.",12990,Black,Black,Automatic,Sedan,2016-01-01,4.46,Volkswagen,Jetta,Sport
95,2016 Jeep Patriot Sport,Used,"49,168 mi.",11990,Black,Gray,Automatic,SUV,2016-01-01,4.46,Jeep,Patriot,Sport
96,2013 Chrysler 200 Limited,Used,"78,224 mi.",7990,Silver,Black,Automatic,Sedan,2013-01-01,7.46,Chrysler,200,Limited
97,2016 Dodge Grand Caravan AVP/SE,Used,"34,850 mi.",14998,Gray,Black,Automatic,Minivan,2016-01-01,4.46,Dodge,Grand,AVP/SE
98,2018 Nissan Sentra S,Used,"39,172 mi.",10990,White,Gray,CVT,Sedan,2018-01-01,2.46,Nissan,Sentra,S
99,2009 Volkswagen Routan SE,Used,"140,816 mi.",5995,Black,Gold,Automatic,Minivan,2009-01-01,11.47,Volkswagen,Routan,SE
100,2016 Ford Fusion Titanium,Used,"44,222 mi.",14978,White,Black,Automatic,Sedan,2016-01-01,4.46,Ford,Fusion,Titanium
101,2015 Subaru Forester 2.5i Limited,Used,"9,710 mi.",14291,Silver,Black,CVT,SUV,2015-01-01,5.46,Subaru,Forester,Limited
102,2015 Toyota Prius c Four,Used,"57,328 mi.",11791,Red,Black,CVT,Hatchback,2015-01-01,5.46,Toyota,Prius,Four
103,2016 Chevrolet Equinox LT,Used,"48,808 mi.",10991,Silver,Black,Automatic,SUV,2016-01-01,4.46,Chevrolet,Equinox,LT
104,2015 Volkswagen Jetta 2.0L S,Used,"54,627 mi.",8991,White,Black,Automatic,Sedan,2015-01-01,5.46,Volkswagen,Jetta,S
105,2011 Dodge Challenger Base,Used,"81,289 mi.",14991,Silver,Black,Automatic,Coupe,2011-01-01,9.47,Dodge,Challenger,Base
106,2018 Chevrolet Malibu LT,Used,"66,487 mi.",12255,White,Black,Automatic,Sedan,2018-01-01,2.46,Chevrolet,Malibu,LT
107,2013 GMC Acadia Denali,Used,"145,436 mi.",14688,Black,Black,Automatic,SUV,2013-01-01,7.46,GMC,Acadia,Denali
108,2018 Nissan Sentra S,Used,"44,920 mi.",11488,White,Black,CVT,Sedan,2018-01-01,2.46,Nissan,Sentra,S
109,2011 Ford Fiesta SES,Used,"76,225 mi.",5995,Yellow,Black,Manual,Hatchback,2011-01-01,9.47,Ford,Fiesta,SES
110,2015 Ford Focus SE,Used,"62,616 mi.",8988,Gray,Black,Automatic,Sedan,2015-01-01,5.46,Ford,Focus,SE
111,2018 Nissan Sentra S,Used,"42,204 mi.",10965,Silver,Black,Manual,Sedan,2018-01-01,2.46,Nissan,Sentra,S
112,2014 Ford Transit Connect XLT,Used,"63,210 mi.",14988,Blue,Gray,Automatic,Cargo Van,2014-01-01,6.46,Ford,Transit,XLT
113,2018 Nissan Sentra S,Used,"36,401 mi.",11062,Gray,Black,CVT,Sedan,2018-01-01,2.46,Nissan,Sentra,S
114,2017 Ford Fusion Hybrid SE,Used,"71,418 mi.",12198,Silver,Black,CVT,Sedan,2017-01-01,3.46,Ford,Fusion,SE
115,2008 Mazda Tribute i Sport,Used,"82,045 mi.",6995,Black,Beige,Automatic,SUV,2008-01-01,12.47,Mazda,Tribute,Sport
116,2017 Nissan Altima 2.5 SV,Used,"51,447 mi.",13991,Gray,Gray,CVT,Sedan,2017-01-01,3.46,Nissan,Altima,SV
117,2012 Subaru Impreza WRX,Used,"59,892 mi.",14993,Silver,Black,Manual,Sedan,2012-01-01,8.47,Subaru,Impreza,WRX
118,2012 Nissan Altima 2.5 S,Used,"113,881 mi.",6792,Red,Gray,CVT,Coupe,2012-01-01,8.47,Nissan,Altima,S
119,2012 Chrysler Town & Country Touring-L,Used,"151,740 mi.",8990,Black,Black,Automatic,Minivan,2012-01-01,8.47,Chrysler,Town,Touring-L
120,2019 Nissan Altima 2.5 S,Used,"34,192 mi.",14990,Blue,Gray,CVT,Sedan,2019-01-01,1.46,Nissan,Altima,S
121,2016 Hyundai Veloster Base,Used,"44,289 mi.",10991,Yellow,Black,Automatic,Hatchback,2016-01-01,4.46,Hyundai,Veloster,Base
122,2018 Dodge Grand Caravan SXT,Used,"44,632 mi.",14810,White,Black,Automatic,Minivan,2018-01-01,2.46,Dodge,Grand,SXT
123,2017 Subaru Outback 2.5i Limited,Used,"38,929 mi.",14950,Gray,Black,CVT,SUV,2017-01-01,3.46,Subaru,Outback,Limited
124,2009 Subaru Forester 2.5X,Used,"77,643 mi.",9500,Blue,Gray,Automatic,SUV,2009-01-01,11.47,Subaru,Forester,2.5X
125,2015 Mitsubishi Outlander Sport ES,Used,"12,812 mi.",14998,Black,Other,Manual,SUV,2015-01-01,5.46,Mitsubishi,Outlander,ES
126,2010 Buick Enclave 1XL,Used,"103,213 mi.",9991,Silver,Black,Automatic,SUV,2010-01-01,10.47,Buick,Enclave,1XL
127,2014 Buick Encore Premium,Used,"42,200 mi.",12419,Silver,Other,Automatic,SUV,2014-01-01,6.46,Buick,Encore,Premium
128,2013 Hyundai Elantra GLS,Used,"73,158 mi.",7350,Gray,Gray,Automatic,Sedan,2013-01-01,7.46,Hyundai,Elantra,GLS
129,2017 Toyota Camry SE,Used,"46,046 mi.",13500,Gray,Black,Automatic,Sedan,2017-01-01,3.46,Toyota,Camry,SE
130,2017 Chevrolet Malibu 1FL,Used,"41,276 mi.",12888,Other,Other,Automatic,Sedan,2017-01-01,3.46,Chevrolet,Malibu,1FL
131,2016 Jeep Patriot Sport,Used,"62,940 mi.",11888,Other,Other,Automatic,SUV,2016-01-01,4.46,Jeep,Patriot,Sport
132,2013 Volvo XC60 T6 Premier Plus,Used,"94,429 mi.",14200,White,Beige,Automatic,SUV,2013-01-01,7.46,Volvo,XC60,Plus
133,2016 Ford Focus S,Used,"64,035 mi.",8888,Other,Other,Automatic,Sedan,2016-01-01,4.46,Ford,Focus,S
134,2010 Dodge Grand Caravan SE,Used,"65,976 mi.",8888,Other,Other,Automatic,Minivan,2010-01-01,10.47,Dodge,Grand,SE
135,2016 Dodge Dart SXT/Rallye,Used,"36,292 mi.",11888,Other,Black,Automatic,Sedan,2016-01-01,4.46,Dodge,Dart,SXT/Rallye
136,2018 Nissan Sentra SV,Used,"31,179 mi.",11999,White,Gray,CVT,Sedan,2018-01-01,2.46,Nissan,Sentra,SV
137,2013 Volvo S60 T5,Used,"70,538 mi.",8995,Blue,Black,Automatic,Sedan,2013-01-01,7.46,Volvo,S60,T5
138,2014 Nissan Versa Note S,Used,"79,018 mi.",5995,Black,Black,Manual,Hatchback,2014-01-01,6.46,Nissan,Versa,S
139,2015 Volkswagen CC 2.0T R-Line,Used,"50,832 mi.",14995,Gray,Gray,Automatic,Sedan,2015-01-01,5.46,Volkswagen,CC,R-Line
140,2008 BMW X3 3.0si,Used,"60,243 mi.",10995,White,Gray,Automatic,SUV,2008-01-01,12.47,BMW,X3,3.0si
141,2011 Cadillac CTS Performance,Used,"74,916 mi.",12995,Black,Black,Automatic,Coupe,2011-01-01,9.47,Cadillac,CTS,Performance
142,2017 Dodge Grand Caravan SXT,Used,"69,428 mi.",13783,Red,Black,Automatic,Minivan,2017-01-01,3.46,Dodge,Grand,SXT
143,2014 Scion tC ONLY 63K HEATED NAVI SPOILER,Used,"63,838 mi.",10995,Black,Black,Automatic,Coupe,2014-01-01,6.46,Scion,tC,SPOILER
144,2014 BMW 328 Gran Turismo i xDrive,Used,"76,416 mi.",14990,Gray,Other,Automatic,Hatchback,2014-01-01,6.46,BMW,328,xDrive
145,2017 Hyundai Sonata Sport 2.0T,Used,"61,651 mi.",13995,Black,Gray,Automatic,Sedan,2017-01-01,3.46,Hyundai,Sonata,2.0T
146,2010 Buick LaCrosse CXL,Used,"92,000 mi.",9500,Black,Black,Automatic,Sedan,2010-01-01,10.47,Buick,LaCrosse,CXL
147,1999 Chevrolet Astro EXT 111 WB,Used,"86,000 mi.",8995,White,Gray,Automatic,Passenger Van,1999-01-01,21.47,Chevrolet,Astro,WB
148,2013 Nissan Pathfinder S,Used,"90,941 mi.",11995,Red,Beige,CVT,SUV,2013-01-01,7.46,Nissan,Pathfinder,S
149,2014 Nissan Sentra SR,Used,"69,764 mi.",8995,Gray,Other,CVT,Sedan,2014-01-01,6.46,Nissan,Sentra,SR
150,2009 Toyota RAV4 Base,Used,"87,073 mi.",8999,Red,Gray,Automatic,SUV,2009-01-01,11.47,Toyota,RAV4,Base
151,2015 Chrysler Town & Country Touring,Used,"87,346 mi.",9995,Silver,Gray,Automatic,Minivan,2015-01-01,5.46,Chrysler,Town,Touring
152,2017 Volkswagen Golf SportWagen TSI S,Volkswagen Certified,"72,678 mi.",10990,Gray,Black,Automatic,Wagon,2017-01-01,3.46,Volkswagen,Golf,S
153,2015 Honda CR-V LX,Used,"74,428 mi.",13995,Gray,Other,CVT,SUV,2015-01-01,5.46,Honda,CR-V,LX
154,2016 Volkswagen Passat 1.8T S,Used,"62,505 mi.",8790,Silver,Black,Automatic,Sedan,2016-01-01,4.46,Volkswagen,Passat,S
155,2014 Jaguar XF I4 T,Used,"78,464 mi.",13990,Black,Gray,Automatic,Sedan,2014-01-01,6.46,Jaguar,XF,T
156,2008 Audi A4 2.0T,Used,"77,127 mi.",6990,Other,Other,Automatic,Sedan,2008-01-01,12.47,Audi,A4,2.0T
157,2013 Nissan Rogue S,Used,"55,413 mi.",10990,Blue,Black,CVT,SUV,2013-01-01,7.46,Nissan,Rogue,S
158,2008 Subaru Impreza 2.5i,Used,"125,378 mi.",4988,Black,White,Manual,Sedan,2008-01-01,12.47,Subaru,Impreza,2.5i
159,2015 Jeep Patriot Sport,Used,"39,840 mi.",9688,Red,Other,Automatic,SUV,2015-01-01,5.46,Jeep,Patriot,Sport
160,2016 Nissan Altima 2.5 S,Used,"77,175 mi.",9590,Gray,Gray,CVT,Sedan,2016-01-01,4.46,Nissan,Altima,S
161,2010 Nissan Altima 2.5 S,Used,"85,360 mi.",7390,Gray,Gray,CVT,Sedan,2010-01-01,10.47,Nissan,Altima,S
162,2016 Honda HR-V LX,Used,"67,011 mi.",14990,Gray,Black,CVT,SUV,2016-01-01,4.46,Honda,HR-V,LX
163,2011 Audi A3 2.0T Premium,Used,"79,690 mi.",9987,Gray,Black,Automatic,Hatchback,2011-01-01,9.47,Audi,A3,Premium
164,2013 Subaru Impreza 2.0i Sport Limited,Used,"83,629 mi.",11900,Silver,Black,CVT,Hatchback,2013-01-01,7.46,Subaru,Impreza,Limited
165,2016 Buick Verano Sport Touring Group,Used,"46,187 mi.",12790,Black,Gray,Automatic,Sedan,2016-01-01,4.46,Buick,Verano,Group
166,2014 Ford Fusion SE,Used,"75,219 mi.",8790,White,Other,Automatic,Sedan,2014-01-01,6.46,Ford,Fusion,SE
167,2018 FIAT 500 Lounge,Used,"4,367 mi.",12599,White,Black,Automatic,Hatchback,2018-01-01,2.46,FIAT,500,Lounge
168,2015 Nissan Altima 2.5 SV,Used,"48,979 mi.",14599,Silver,Black,CVT,Sedan,2015-01-01,5.46,Nissan,Altima,SV
169,2017 Nissan Quest SV,Used,"81,337 mi.",12981,Gray,Gray,CVT,Minivan,2017-01-01,3.46,Nissan,Quest,SV
170,2013 Lexus ES 350 Base,Used,"112,359 mi.",11295,White,Beige,Automatic,Sedan,2013-01-01,7.46,Lexus,ES,Base
171,2018 Ford Fusion Hybrid SE,Used,"41,654 mi.",14599,Silver,White,CVT,Sedan,2018-01-01,2.46,Ford,Fusion,SE
172,2016 Volkswagen Golf SportWagen TSI S 4-Door,Used,"27,479 mi.",14114,Blue,Beige,Automatic,Wagon,2016-01-01,4.46,Volkswagen,Golf,4-Door
173,2011 Volkswagen Tiguan SE,Used,"83,068 mi.",10182,Blue,Gray,Automatic,SUV,2011-01-01,9.47,Volkswagen,Tiguan,SE
174,2013 Ford Sedan Police Interceptor Base,Used,"99,811 mi.",12995,Black,Other,Automatic,Sedan,2013-01-01,7.46,Ford,Sedan,Base
175,2017 Mazda Mazda3 Touring,Used,"93,190 mi.",10995,Silver,Black,Automatic,Hatchback,2017-01-01,3.46,Mazda,Mazda3,Touring
176,2009 Buick Enclave CXL,Used,"119,470 mi.",10500,Brown,Black,Automatic,SUV,2009-01-01,11.47,Buick,Enclave,CXL
177,2018 Chevrolet Malibu LT,Used,"31,532 mi.",14418,Silver,Black,Automatic,Sedan,2018-01-01,2.46,Chevrolet,Malibu,LT
178,2006 Toyota Tundra SR5,Used,"123,788 mi.",10997,Red,Gray,Automatic,Crew Cab Pickup,2006-01-01,14.47,Toyota,Tundra,SR5
179,2012 Volkswagen Passat 2.0 TDI SEL Premium,Used,"74,877 mi.",9988,Black,Black,Automatic,Sedan,2012-01-01,8.47,Volkswagen,Passat,Premium
180,2007 Nissan Versa S,Used,"125,220 mi.",3995,Gray,Gray,Automatic,Hatchback,2007-01-01,13.47,Nissan,Versa,S
181,2018 Volkswagen Passat,Used,"45,502 mi.",14995,Silver,Other,Automatic,Sedan,2018-01-01,2.46,Volkswagen,Passat,Passat
182,2016 Jeep Compass Sport,Used,"50,174 mi.",13987,White,Gray,Automatic,SUV,2016-01-01,4.46,Jeep,Compass,Sport
183,2014 Ford C-Max Energi SEL,Used,"49,731 mi.",11200,Red,Black,CVT,Hatchback,2014-01-01,6.46,Ford,C-Max,SEL
184,2019 Nissan Sentra SV,Used,"9,700 mi.",13964,Red,Gray,CVT,Sedan,2019-01-01,1.46,Nissan,Sentra,SV
185,2011 Subaru Forester 2.5 X,Used,"85,469 mi.",9995,Silver,Gray,Automatic,SUV,2011-01-01,9.47,Subaru,Forester,X
186,2013 Volkswagen Passat 2.0 TDI SE,Used,"62,398 mi.",8990,Silver,Black,Manual,Sedan,2013-01-01,7.46,Volkswagen,Passat,SE
187,2014 Volkswagen Passat 2.0L TDI DSG SEL Premium,Used,"22,522 mi.",12490,White,Beige,Automatic,Sedan,2014-01-01,6.46,Volkswagen,Passat,Premium
188,2018 Ford Fiesta SE,Used,"42,134 mi.",8977,Gray,Gray,Automatic,Hatchback,2018-01-01,2.46,Ford,Fiesta,SE
189,2011 Volvo C30,Used,"132,576 mi.",8990,Orange,Other,Unknown,Hatchback,2011-01-01,9.47,Volvo,C30,C30
190,2016 Nissan Altima 2.5 S,Used,"63,634 mi.",10990,White,Gray,CVT,Sedan,2016-01-01,4.46,Nissan,Altima,S
191,2015 Toyota Corolla LE,Used,"77,507 mi.",9990,Silver,Gray,CVT,Sedan,2015-01-01,5.46,Toyota,Corolla,LE
