,Name,Stocktype,Mileage (Miles),Price,Ext_color,Int_color,Transmission,Drivetrain
3097,2013 Volkswagen Jetta TDI,Used,"29,390 mi.","$10,990",Silver,Black,Automatic,FWD
3098,2013 Volkswagen Passat 2.0 TDI SE,Used,"33,608 mi.","$11,990",White,Black,Manual,FWD
3099,2012 Subaru Outback 2.5i Premium,Used,"191,926 mi.","$7,995",Silver,Black,CVT,AWD
3100,2008 Honda Accord EX-L V6,Used,"149,736 mi.","$7,995",White,Beige,Automatic,FWD
3101,2005 Ford Mustang GT Premium,Used,"143,818 mi.","$7,995",Red,Black,Automatic,RWD
3102,2013 Kia Soul +,Used,"104,117 mi.","$8,995",White,Black,Automatic,FWD
3103,2012 Chevrolet Sonic LT,Used,"108,248 mi.","$6,995",Black,Black,Automatic,FWD
3104,2007 Ford Mustang Premium,Used,"148,098 mi.","$5,995",Black,Black,Automatic,RWD
3105,2017 Nissan Sentra S,Used,"30,622 mi.","$12,998",Black,Black,CVT,FWD
3106,2010 Toyota Yaris Base,Used,"60,723 mi.","$9,998",Silver,Black,Automatic,FWD
3107,2010 Volkswagen Jetta S,Used,"57,029 mi.","$9,599",White,Black,Automatic,FWD
3108,2010 Toyota Prius II,Used,"17,993 mi.","$14,998",Silver,Gray,CVT,FWD
3109,2014 Ford Escape SE,Used,"91,421 mi.","$10,905",White,Black,Automatic,FWD
3110,2012 Ford Fusion SE,Used,"103,665 mi.","$7,941",Blue,Black,Automatic,FWD
3111,2004 Ford Ranger XLT,Used,"61,354 mi.","$9,999",Other,Other,Unknown,RWD
3112,2001 Volkswagen Jetta GLS,Used,"3,000 mi.",$800,Black,Black,Automatic,FWD
3113,2007 Audi A4 2.0T quattro,Used,"116,963 mi.","$6,291",Silver,Black,Automatic,AWD
3114,2011 BMW 535 i xDrive,Used,"140,877 mi.","$10,995",Gray,Black,Automatic,AWD
3115,2014 Nissan Versa 1.6 SV,Used,"99,923 mi.","$7,495",Red,Gray,CVT,FWD
3116,2014 Ford Fiesta SE,Used,"59,827 mi.","$6,995",Silver,Gray,Automatic,FWD
3117,2007 Toyota Prius,Used,"170,347 mi.","$4,995",Gray,Black,CVT,FWD
3118,2008 Volkswagen Touareg 2 V6,Used,"99,876 mi.","$6,995",Black,Black,Automatic,AWD
3119,2011 Chevrolet Traverse LT,Used,"173,898 mi.","$7,250",Gray,Black,Automatic,AWD
3120,2007 Hyundai Santa Fe Limited,Used,"85,445 mi.","$7,000",Blue,Gray,Automatic,FWD
3121,2010 Ford Expedition EL Limited,Used,"114,396 mi.","$12,995",White,Gray,Automatic,drive
3122,2018 Mazda Mazda3 Sport,Used,"48,721 mi.","$13,314",Blue,Black,Automatic,FWD
3123,2019 Kia Optima LX,Used,"39,111 mi.","$14,798",Silver,Black,Automatic,FWD
3124,2019 Hyundai Accent SE,Used,"16,995 mi.","$13,787",Gray,Black,Automatic,FWD
3125,2019 Volkswagen Jetta 1.4T S,Used,"18,214 mi.","$14,693",Black,Black,Automatic,FWD
3126,2019 Hyundai Elantra SEL,Used,"21,191 mi.","$14,421",Silver,Gray,Automatic,FWD
3127,2019 Kia Optima LX,Used,"35,306 mi.","$14,792",Silver,Black,Automatic,FWD
3128,2009 Honda Accord EX-L,Used,"136,253 mi.","$9,988",Silver,Gray,Automatic,FWD
3129,2005 Toyota Tundra SR5,Used,"193,088 mi.","$13,988",Black,Beige,Automatic,drive
3130,2008 Chevrolet TrailBlazer LT,Used,"136,031 mi.","$8,988",White,Black,Automatic,drive
3131,2005 Chevrolet Cavalier Base,Used,"161,328 mi.","$2,988",Blue,Gray,Automatic,FWD
